GO,name,definition
GO:0055086,nucleobase-containing small molecule metabolic process,"The cellular chemical reactions and pathways involving a nucleobase-containing small molecule: a nucleobase, a nucleoside, or a nucleotide."
GO:0009117,nucleotide metabolic process,"The chemical reactions and pathways involving a nucleotide, a nucleoside that is esterified with (ortho)phosphate or an oligophosphate at any hydroxyl group on the glycose moiety; may be mono-, di- or triphosphate; this definition includes cyclic nucleotides (nucleoside cyclic phosphates)."
GO:0006753,nucleoside phosphate metabolic process,The chemical reactions and pathways involving any phosphorylated nucleoside.
GO:0019693,ribose phosphate metabolic process,"The chemical reactions and pathways involving ribose phosphate, any phosphorylated ribose sugar."
GO:0072521,purine-containing compound metabolic process,"The chemical reactions and pathways involving a purine-containing compound, i.e. any compound that contains purine or a formal derivative thereof."
GO:0006163,purine nucleotide metabolic process,"The chemical reactions and pathways involving a purine nucleotide, a compound consisting of nucleoside (a purine base linked to a deoxyribose or ribose sugar) esterified with a phosphate group at either the 3' or 5'-hydroxyl group of the sugar."
GO:0009259,ribonucleotide metabolic process,"The chemical reactions and pathways involving a ribonucleotide, a compound consisting of ribonucleoside (a base linked to a ribose sugar) esterified with a phosphate group at either the 3' or 5'-hydroxyl group of the sugar."
GO:0009206,purine ribonucleoside triphosphate biosynthetic process,"The chemical reactions and pathways resulting in the formation of purine ribonucleoside triphosphate, a compound consisting of a purine base linked to a ribose sugar esterified with triphosphate on the sugar."
GO:0009145,purine nucleoside triphosphate biosynthetic process,"The chemical reactions and pathways resulting in the formation of purine nucleoside triphosphate, a compound consisting of a purine base linked to a ribose or deoxyribose sugar esterified with triphosphate on the sugar."
GO:0009142,nucleoside triphosphate biosynthetic process,"The chemical reactions and pathways resulting in the formation of a nucleoside triphosphate, a compound consisting of a nucleobase linked to a deoxyribose or ribose sugar esterified with triphosphate on the sugar."
GO:0009165,nucleotide biosynthetic process,"The chemical reactions and pathways resulting in the formation of nucleotides, any nucleoside that is esterified with (ortho)phosphate or an oligophosphate at any hydroxyl group on the glycose moiety; may be mono-, di- or triphosphate; this definition includes cyclic-nucleotides (nucleoside cyclic phosphates)."
GO:1901293,nucleoside phosphate biosynthetic process,The chemical reactions and pathways resulting in the formation of a nucleoside phosphate.
GO:0009201,ribonucleoside triphosphate biosynthetic process,"The chemical reactions and pathways resulting in the formation of a ribonucleoside triphosphate, a compound consisting of a nucleobase linked to a ribose sugar esterified with triphosphate on the sugar."
GO:0009205,purine ribonucleoside triphosphate metabolic process,"The chemical reactions and pathways involving purine ribonucleoside triphosphate, a compound consisting of a purine base linked to a ribose sugar esterified with triphosphate on the sugar."
GO:0009150,purine ribonucleotide metabolic process,"The chemical reactions and pathways involving a purine ribonucleotide, a compound consisting of ribonucleoside (a purine base linked to a ribose sugar) esterified with a phosphate group at either the 3' or 5'-hydroxyl group of the sugar."
GO:0009199,ribonucleoside triphosphate metabolic process,"The chemical reactions and pathways involving a ribonucleoside triphosphate, a compound consisting of a nucleobase linked to a ribose sugar esterified with triphosphate on the sugar."
GO:0009144,purine nucleoside triphosphate metabolic process,"The chemical reactions and pathways involving purine nucleoside triphosphate, a compound consisting of a purine base linked to a ribose or deoxyribose sugar esterified with triphosphate on the sugar."
GO:0009141,nucleoside triphosphate metabolic process,"The chemical reactions and pathways involving a nucleoside triphosphate, a compound consisting of a nucleobase linked to a deoxyribose or ribose sugar esterified with triphosphate on the sugar."
GO:0009260,ribonucleotide biosynthetic process,"The chemical reactions and pathways resulting in the formation of a ribonucleotide, a compound consisting of ribonucleoside (a base linked to a ribose sugar) esterified with a phosphate group at either the 3' or 5'-hydroxyl group of the sugar."
GO:0046390,ribose phosphate biosynthetic process,"The chemical reactions and pathways resulting in the formation of ribose phosphate, any phosphorylated ribose sugar."
GO:0045259,proton-transporting ATP synthase complex,"A proton-transporting two-sector ATPase complex that catalyzes the phosphorylation of ADP to ATP during oxidative phosphorylation. The complex comprises a membrane sector (F0) that carries out proton transport and a cytoplasmic compartment sector (F1) that catalyzes ATP synthesis by a rotational mechanism; the extramembrane sector (containing 3 a and 3 b subunits) is connected via the d-subunit to the membrane sector by several smaller subunits. Within this complex, the g and e subunits and the 9-12 c subunits rotate by consecutive 120 degree angles and perform parts of ATP synthesis. This movement is driven by the hydrogen ion electrochemical potential gradient."
GO:0005753,mitochondrial proton-transporting ATP synthase complex,A proton-transporting ATP synthase complex found in the mitochondrial membrane.
GO:0016469,proton-transporting two-sector ATPase complex,"A large protein complex that catalyzes the synthesis or hydrolysis of ATP by a rotational mechanism, coupled to the transport of protons across a membrane. The complex comprises a membrane sector (F0, V0, or A0) that carries out proton transport and a cytoplasmic compartment sector (F1, V1, or A1) that catalyzes ATP synthesis or hydrolysis. Two major types have been characterized: V-type ATPases couple ATP hydrolysis to the transport of protons across a concentration gradient, whereas F-type ATPases, also known as ATP synthases, normally run in the reverse direction to utilize energy from a proton concentration or electrochemical gradient to synthesize ATP. A third type, A-type ATPases have been found in archaea, and are closely related to eukaryotic V-type ATPases but are reversible."
GO:0045263,"proton-transporting ATP synthase complex, coupling factor F(o)","All non-F1 subunits of a hydrogen-transporting ATP synthase, including integral and peripheral membrane proteins."
GO:0000276,"mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)","All non-F1 subunits of the mitochondrial hydrogen-transporting ATP synthase, including integral and peripheral mitochondrial inner membrane proteins."
GO:0033177,"proton-transporting two-sector ATPase complex, proton-transporting domain","A protein complex that forms part of a proton-transporting two-sector ATPase complex and carries out proton transport across a membrane. The proton-transporting domain (F0, V0, or A0) includes integral and peripheral membrane proteins."
GO:0098800,inner mitochondrial membrane protein complex,Any protein complex that is part of the inner mitochondrial membrane.
GO:0005743,mitochondrial inner membrane,"The inner, i.e. lumen-facing, lipid bilayer of the mitochondrial envelope. It is highly folded to form cristae."
