Term,Database,ID,Input number,Background number,P-Value,Corrected P-Value,Input,Hyperlink
Metabolic pathways,KEGG PATHWAY,hsa01100,59,1433,2.95E-64,2.18E-62,29968|5224|669|50484|7167|2597|498|22934|5315|10797|1890|79966|1544|1543|518|5313|5232|441024|5236|5230|26227|10632|521|522|509|506|6241|4860|4832|4831|26330|55276|151531|6240|6319|4830|10201|2027|1806|7378|1557|5223|7372|4524|4522|29922|51727|2026|10476|517|2023|9551|139596|513|516|515|514|539|51071,http://www.genome.jp/kegg-bin/show_pathway?hsa01100/hsa:4860%09red/hsa:10797%09red/hsa:50484%09red/hsa:22934%09red/hsa:51071%09red/hsa:517%09red/hsa:1544%09red/hsa:515%09red/hsa:514%09red/hsa:513%09red/hsa:539%09red/hsa:669%09red/hsa:10632%09red/hsa:26330%09red/hsa:1543%09red/hsa:2023%09red/hsa:5224%09red/hsa:2026%09red/hsa:2027%09red/hsa:6319%09red/hsa:5236%09red/hsa:4522%09red/hsa:5232%09red/hsa:4524%09red/hsa:5230%09red/hsa:7167%09red/hsa:55276%09red/hsa:1890%09red/hsa:518%09red/hsa:5313%09red/hsa:10201%09red/hsa:4830%09red/hsa:441024%09red/hsa:4832%09red/hsa:4831%09red/hsa:139596%09red/hsa:79966%09red/hsa:5315%09red/hsa:506%09red/hsa:1806%09red/hsa:26227%09red/hsa:29968%09red/hsa:9551%09red/hsa:1557%09red/hsa:498%09red/hsa:51727%09red/hsa:522%09red/hsa:509%09red/hsa:521%09red/hsa:151531%09red/hsa:29922%09red/hsa:7372%09red/hsa:5223%09red/hsa:516%09red/hsa:7378%09red/hsa:2597%09red/hsa:10476%09red/hsa:6240%09red/hsa:6241%09red
Pyrimidine metabolism,KEGG PATHWAY,hsa00240,16,57,1.97E-28,7.27E-27,1806|151531|7378|50484|7372|4832|10201|51727|4831|139596|6240|6241|4860|1890|29922|4830,http://www.genome.jp/kegg-bin/show_pathway?hsa00240/hsa:4830%09red/hsa:29922%09red/hsa:4860%09red/hsa:7372%09red/hsa:4832%09red/hsa:50484%09red/hsa:139596%09red/hsa:7378%09red/hsa:151531%09red/hsa:1806%09red/hsa:10201%09red/hsa:6240%09red/hsa:6241%09red/hsa:1890%09red/hsa:51727%09red/hsa:4831%09red
Glycolysis / Gluconeogenesis,KEGG PATHWAY,hsa00010,15,68,2.54E-25,6.26E-24,2597|669|5223|55276|26330|7167|5236|5230|5313|2026|2027|5315|2023|5224|5232,http://www.genome.jp/kegg-bin/show_pathway?hsa00010/hsa:2023%09red/hsa:669%09red/hsa:2027%09red/hsa:5223%09red/hsa:5224%09red/hsa:5236%09red/hsa:2597%09red/hsa:5232%09red/hsa:5230%09red/hsa:7167%09red/hsa:55276%09red/hsa:2026%09red/hsa:5315%09red/hsa:26330%09red/hsa:5313%09red
Biosynthesis of amino acids,KEGG PATHWAY,hsa01230,14,75,8.82E-23,1.39E-21,2597|5224|5223|5232|7167|5315|5230|5313|2026|29968|22934|2023|2027|26227,http://www.genome.jp/kegg-bin/show_pathway?hsa01230/hsa:2023%09red/hsa:2026%09red/hsa:2027%09red/hsa:5223%09red/hsa:22934%09red/hsa:5224%09red/hsa:2597%09red/hsa:5232%09red/hsa:29968%09red/hsa:5230%09red/hsa:7167%09red/hsa:5315%09red/hsa:26227%09red/hsa:5313%09red
Thermogenesis,KEGG PATHWAY,hsa04714,18,231,9.41E-23,1.39E-21,517|9551|126129|514|518|10476|498|521|522|509|506|1375|513|516|515|10632|539|1374,http://www.genome.jp/kegg-bin/show_pathway?hsa04714/hsa:126129%09red/hsa:518%09red/hsa:1375%09red/hsa:1374%09red/hsa:515%09red/hsa:517%09red/hsa:516%09red/hsa:506%09red/hsa:514%09red/hsa:513%09red/hsa:10476%09red/hsa:9551%09red/hsa:539%09red/hsa:498%09red/hsa:10632%09red/hsa:522%09red/hsa:509%09red/hsa:521%09red
Drug metabolism - other enzymes,KEGG PATHWAY,hsa00983,14,79,1.70E-22,2.10E-21,1806|151531|7378|50484|7372|4832|51727|4831|10201|6240|6241|1890|29922|4830,http://www.genome.jp/kegg-bin/show_pathway?hsa00983/hsa:29922%09red/hsa:7372%09red/hsa:4832%09red/hsa:50484%09red/hsa:4830%09red/hsa:7378%09red/hsa:151531%09red/hsa:1806%09red/hsa:10201%09red/hsa:6240%09red/hsa:6241%09red/hsa:1890%09red/hsa:51727%09red/hsa:4831%09red
Carbon metabolism,KEGG PATHWAY,hsa01200,15,117,4.14E-22,4.38E-21,2597|5224|5223|5232|4524|7167|5315|5230|5313|2026|29968|22934|2023|2027|26227,http://www.genome.jp/kegg-bin/show_pathway?hsa01200/hsa:2023%09red/hsa:2026%09red/hsa:2027%09red/hsa:5223%09red/hsa:22934%09red/hsa:5224%09red/hsa:2597%09red/hsa:5232%09red/hsa:4524%09red/hsa:5230%09red/hsa:7167%09red/hsa:5315%09red/hsa:26227%09red/hsa:5313%09red/hsa:29968%09red
Oxidative phosphorylation,KEGG PATHWAY,hsa00190,15,133,2.46E-21,2.28E-20,517|9551|514|518|10476|498|521|522|509|506|513|515|10632|539|516,http://www.genome.jp/kegg-bin/show_pathway?hsa00190/hsa:518%09red/hsa:515%09red/hsa:517%09red/hsa:516%09red/hsa:506%09red/hsa:514%09red/hsa:513%09red/hsa:10476%09red/hsa:9551%09red/hsa:539%09red/hsa:498%09red/hsa:10632%09red/hsa:522%09red/hsa:509%09red/hsa:521%09red
Parkinson disease,KEGG PATHWAY,hsa05012,15,142,6.14E-21,5.05E-20,515|293|518|10476|498|517|522|509|506|513|516|292|514|539|291,http://www.genome.jp/kegg-bin/show_pathway?hsa05012/hsa:516%09red/hsa:514%09red/hsa:515%09red/hsa:292%09red/hsa:517%09red/hsa:291%09red/hsa:506%09red/hsa:293%09red/hsa:513%09red/hsa:10476%09red/hsa:539%09red/hsa:498%09red/hsa:522%09red/hsa:509%09red/hsa:518%09red
Huntington disease,KEGG PATHWAY,hsa05016,15,193,4.56E-19,3.38E-18,515|293|518|10476|498|517|522|509|506|513|516|292|514|539|291,http://www.genome.jp/kegg-bin/show_pathway?hsa05016/hsa:516%09red/hsa:514%09red/hsa:515%09red/hsa:292%09red/hsa:517%09red/hsa:291%09red/hsa:506%09red/hsa:293%09red/hsa:513%09red/hsa:10476%09red/hsa:539%09red/hsa:498%09red/hsa:522%09red/hsa:509%09red/hsa:518%09red
