GO,name,definition
GO:0055086,nucleobase-containing small molecule metabolic process,"The cellular chemical reactions and pathways involving a nucleobase-containing small molecule: a nucleobase, a nucleoside, or a nucleotide."
GO:0009117,nucleotide metabolic process,"The chemical reactions and pathways involving a nucleotide, a nucleoside that is esterified with (ortho)phosphate or an oligophosphate at any hydroxyl group on the glycose moiety; may be mono-, di- or triphosphate; this definition includes cyclic nucleotides (nucleoside cyclic phosphates)."
GO:0006753,nucleoside phosphate metabolic process,The chemical reactions and pathways involving any phosphorylated nucleoside.
GO:0090407,organophosphate biosynthetic process,"The chemical reactions and pathways resulting in the biosynthesis of deoxyribose phosphate, the phosphorylated sugar 2-deoxy-erythro-pentose."
GO:0009165,nucleotide biosynthetic process,"The chemical reactions and pathways resulting in the formation of nucleotides, any nucleoside that is esterified with (ortho)phosphate or an oligophosphate at any hydroxyl group on the glycose moiety; may be mono-, di- or triphosphate; this definition includes cyclic-nucleotides (nucleoside cyclic phosphates)."
GO:1901293,nucleoside phosphate biosynthetic process,The chemical reactions and pathways resulting in the formation of a nucleoside phosphate.
GO:0072521,purine-containing compound metabolic process,"The chemical reactions and pathways involving a purine-containing compound, i.e. any compound that contains purine or a formal derivative thereof."
GO:0006165,nucleoside diphosphate phosphorylation,The process of introducing a phosphate group into a nucleoside diphosphate to produce a nucleoside triphosphate.
GO:0046939,nucleotide phosphorylation,The process of introducing one or more phosphate groups into a nucleotide to produce a phosphorylated nucleoside.
GO:0019693,ribose phosphate metabolic process,"The chemical reactions and pathways involving ribose phosphate, any phosphorylated ribose sugar."
GO:0006163,purine nucleotide metabolic process,"The chemical reactions and pathways involving a purine nucleotide, a compound consisting of nucleoside (a purine base linked to a deoxyribose or ribose sugar) esterified with a phosphate group at either the 3' or 5'-hydroxyl group of the sugar."
GO:0009132,nucleoside diphosphate metabolic process,"The chemical reactions and pathways involving a nucleoside diphosphate, a compound consisting of a nucleobase linked to a deoxyribose or ribose sugar esterified with diphosphate on the sugar."
GO:0015949,nucleobase-containing small molecule interconversion,"The chemical reactions and pathways by which a nucleobase, nucleoside or nucleotide small molecule is synthesized from another nucleobase, nucleoside or nucleotide small molecule."
GO:0009259,ribonucleotide metabolic process,"The chemical reactions and pathways involving a ribonucleotide, a compound consisting of ribonucleoside (a base linked to a ribose sugar) esterified with a phosphate group at either the 3' or 5'-hydroxyl group of the sugar."
GO:0006221,pyrimidine nucleotide biosynthetic process,"The chemical reactions and pathways resulting in the formation of a pyrimidine nucleotide, a compound consisting of nucleoside (a pyrimidine base linked to a deoxyribose or ribose sugar) esterified with a phosphate group at either the 3' or 5'-hydroxyl group of the sugar."
GO:0072527,pyrimidine-containing compound metabolic process,"The chemical reactions and pathways involving a pyrimidine-containing compound, i.e. any compound that contains pyrimidine or a formal derivative thereof."
GO:0009220,pyrimidine ribonucleotide biosynthetic process,"The chemical reactions and pathways resulting in the formation of a pyrimidine ribonucleotide, a compound consisting of nucleoside (a pyrimidine base linked to a ribose sugar) esterified with a phosphate group at either the 3' or 5'-hydroxyl group of the sugar."
GO:0009218,pyrimidine ribonucleotide metabolic process,"The chemical reactions and pathways involving a pyrimidine ribonucleotide, a compound consisting of nucleoside (a pyrimidine base linked to a ribose sugar) esterified with a phosphate group at either the 3' or 5'-hydroxyl group of the sugar."
GO:0072528,pyrimidine-containing compound biosynthetic process,"The chemical reactions and pathways resulting in the formation of a pyrimidine-containing compound, i.e. any compound that contains pyrimidine or a formal derivative thereof."
GO:0006220,pyrimidine nucleotide metabolic process,"The chemical reactions and pathways involving a pyrimidine nucleotide, a compound consisting of nucleoside (a pyrimidine base linked to a deoxyribose or ribose sugar) esterified with a phosphate group at either the 3' or 5'-hydroxyl group of the sugar."
GO:0101002,ficolin-1-rich granule,"Highly exocytosable gelatinase-poor granules found in neutrophils and rich in ficolin-1.  Ficolin-1 is released from neutrophil granules by stimulation with fMLP or PMA, and the majority becomes associated with the surface membrane of the cells and can be detected by flow cytometry."
GO:1904813,ficolin-1-rich granule lumen,Any membrane-enclosed lumen that is part of a ficolin-1-rich granule.
GO:1904724,tertiary granule lumen,Any membrane-enclosed lumen that is part of a tertiary granule.
GO:0005942,phosphatidylinositol 3-kinase complex,"A protein complex capable of phosphatidylinositol 3-kinase activity and containing subunits of any phosphatidylinositol 3-kinase (PI3K) enzyme. These complexes are divided in three classes (called I, II and III) that differ for their presence across taxonomic groups and for the type of their constituents. Catalytic subunits of phosphatidylinositol 3-kinase enzymes are present in all 3 classes; regulatory subunits of phosphatidylinositol 3-kinase enzymes are present in classes I and III; adaptor proteins have been observed in class II complexes and may be present in other classes too."
GO:0070820,tertiary granule,A secretory granule that contains cathepsin and gelatinase and is readily exocytosed upon cell activation; found primarily in mature neutrophil cells.
GO:0034774,secretory granule lumen,The volume enclosed by the membrane of a secretory granule.
GO:0060205,cytoplasmic vesicle lumen,The volume enclosed by a cytoplasmic vesicle.
GO:0031983,vesicle lumen,The volume enclosed by the membrane or protein that forms a vesicle.
GO:0061695,"transferase complex, transferring phosphorus-containing groups",A transferase complex capable of catalysis of the transfer of a phosphorus-containing group from one compound (donor) to another (acceptor).
GO:0005743,mitochondrial inner membrane,"The inner, i.e. lumen-facing, lipid bilayer of the mitochondrial envelope. It is highly folded to form cristae."
GO:0005759,mitochondrial matrix,"The gel-like material, with considerable fine structure, that lies in the matrix space, or lumen, of a mitochondrion. It contains the enzymes of the tricarboxylic acid cycle and, in some organisms, the enzymes concerned with fatty acid oxidation."
GO:0019866,organelle inner membrane,"The inner, i.e. lumen-facing, lipid bilayer of an organelle envelope; usually highly selective to most ions and metabolites."
GO:0061827,sperm head,The part of the late spermatid or spermatozoon that contains the nucleus and acrosome.
