Term,Database,ID,Input number,Background number,P-Value,Corrected P-Value,Input,Hyperlink
Metabolic pathways,KEGG PATHWAY,hsa01100,44,1433,8.90E-50,6.41E-48,217|23530|4524|50484|7167|22934|5337|5211|10797|230|2821|79966|1544|1635|790|56954|441024|5236|219|6241|501|5288|55276|5287|5286|6240|229|10201|226|224|223|1543|1806|1557|4831|4830|4832|4522|29922|9791|139596|6319|51727|51071,http://www.genome.jp/kegg-bin/show_pathway?hsa01100/hsa:230%09red/hsa:5288%09red/hsa:10797%09red/hsa:50484%09red/hsa:22934%09red/hsa:5287%09red/hsa:5286%09red/hsa:56954%09red/hsa:219%09red/hsa:226%09red/hsa:1544%09red/hsa:2821%09red/hsa:1543%09red/hsa:441024%09red/hsa:1635%09red/hsa:5236%09red/hsa:5211%09red/hsa:4522%09red/hsa:9791%09red/hsa:10201%09red/hsa:7167%09red/hsa:55276%09red/hsa:217%09red/hsa:4524%09red/hsa:5337%09red/hsa:224%09red/hsa:4830%09red/hsa:223%09red/hsa:4832%09red/hsa:4831%09red/hsa:139596%09red/hsa:229%09red/hsa:79966%09red/hsa:1806%09red/hsa:501%09red/hsa:1557%09red/hsa:51727%09red/hsa:23530%09red/hsa:790%09red/hsa:29922%09red/hsa:51071%09red/hsa:6319%09red/hsa:6240%09red/hsa:6241%09red
Pyrimidine metabolism,KEGG PATHWAY,hsa00240,13,57,2.69E-24,9.68E-23,1806|1635|790|50484|4830|4832|29922|4831|10201|6240|6241|51727|139596,http://www.genome.jp/kegg-bin/show_pathway?hsa00240/hsa:790%09red/hsa:4830%09red/hsa:29922%09red/hsa:139596%09red/hsa:4832%09red/hsa:50484%09red/hsa:1635%09red/hsa:1806%09red/hsa:10201%09red/hsa:6240%09red/hsa:6241%09red/hsa:51727%09red/hsa:4831%09red
Glycolysis / Gluconeogenesis,KEGG PATHWAY,hsa00010,13,68,2.10E-23,5.04E-22,217|230|55276|7167|5236|219|229|5211|226|224|223|2821|501,http://www.genome.jp/kegg-bin/show_pathway?hsa00010/hsa:224%09red/hsa:230%09red/hsa:226%09red/hsa:223%09red/hsa:219%09red/hsa:229%09red/hsa:5236%09red/hsa:5211%09red/hsa:501%09red/hsa:7167%09red/hsa:55276%09red/hsa:2821%09red/hsa:217%09red
Pentose phosphate pathway,KEGG PATHWAY,hsa00030,9,30,4.91E-18,8.83E-17,55276|5236|22934|229|5211|226|230|2821|51071,http://www.genome.jp/kegg-bin/show_pathway?hsa00030/hsa:230%09red/hsa:226%09red/hsa:22934%09red/hsa:229%09red/hsa:51071%09red/hsa:5236%09red/hsa:5211%09red/hsa:55276%09red/hsa:2821%09red
Drug metabolism - other enzymes,KEGG PATHWAY,hsa00983,10,79,1.44E-16,2.08E-15,1806|50484|4830|4832|29922|4831|10201|6240|6241|51727,http://www.genome.jp/kegg-bin/show_pathway?hsa00983/hsa:29922%09red/hsa:4832%09red/hsa:50484%09red/hsa:4830%09red/hsa:1806%09red/hsa:10201%09red/hsa:6240%09red/hsa:6241%09red/hsa:51727%09red/hsa:4831%09red
Tryptophan metabolism,KEGG PATHWAY,hsa00380,8,42,9.26E-15,1.11E-13,217|1544|1545|1543|219|224|223|501,http://www.genome.jp/kegg-bin/show_pathway?hsa00380/hsa:224%09red/hsa:223%09red/hsa:219%09red/hsa:501%09red/hsa:1544%09red/hsa:1545%09red/hsa:217%09red/hsa:1543%09red
Fatty acid degradation,KEGG PATHWAY,hsa00071,8,44,1.30E-14,1.33E-13,217|219|1375|1374|126129|224|223|501,http://www.genome.jp/kegg-bin/show_pathway?hsa00071/hsa:224%09red/hsa:126129%09red/hsa:223%09red/hsa:1375%09red/hsa:1374%09red/hsa:219%09red/hsa:501%09red/hsa:217%09red
Purine metabolism,KEGG PATHWAY,hsa00230,10,130,1.54E-14,1.38E-13,50484|4830|55276|4832|5236|4831|10201|6240|6241|29922,http://www.genome.jp/kegg-bin/show_pathway?hsa00230/hsa:29922%09red/hsa:4832%09red/hsa:50484%09red/hsa:4830%09red/hsa:5236%09red/hsa:10201%09red/hsa:6240%09red/hsa:6241%09red/hsa:55276%09red/hsa:4831%09red
Carbon metabolism,KEGG PATHWAY,hsa01200,8,117,1.86E-11,1.49E-10,4524|7167|22934|229|5211|226|230|2821,http://www.genome.jp/kegg-bin/show_pathway?hsa01200/hsa:230%09red/hsa:226%09red/hsa:22934%09red/hsa:229%09red/hsa:5211%09red/hsa:4524%09red/hsa:7167%09red/hsa:2821%09red
beta-Alanine metabolism,KEGG PATHWAY,hsa00410,6,33,3.07E-11,2.21E-10,217|1806|219|224|223|501,http://www.genome.jp/kegg-bin/show_pathway?hsa00410/hsa:224%09red/hsa:1806%09red/hsa:223%09red/hsa:219%09red/hsa:501%09red/hsa:217%09red
