GO,name,definition
GO:0009117,nucleotide metabolic process,"The chemical reactions and pathways involving a nucleotide, a nucleoside that is esterified with (ortho)phosphate or an oligophosphate at any hydroxyl group on the glycose moiety; may be mono-, di- or triphosphate; this definition includes cyclic nucleotides (nucleoside cyclic phosphates)."
GO:0006753,nucleoside phosphate metabolic process,The chemical reactions and pathways involving any phosphorylated nucleoside.
GO:0006163,purine nucleotide metabolic process,"The chemical reactions and pathways involving a purine nucleotide, a compound consisting of nucleoside (a purine base linked to a deoxyribose or ribose sugar) esterified with a phosphate group at either the 3' or 5'-hydroxyl group of the sugar."
GO:0009259,ribonucleotide metabolic process,"The chemical reactions and pathways involving a ribonucleotide, a compound consisting of ribonucleoside (a base linked to a ribose sugar) esterified with a phosphate group at either the 3' or 5'-hydroxyl group of the sugar."
GO:0055086,nucleobase-containing small molecule metabolic process,"The cellular chemical reactions and pathways involving a nucleobase-containing small molecule: a nucleobase, a nucleoside, or a nucleotide."
GO:0019693,ribose phosphate metabolic process,"The chemical reactions and pathways involving ribose phosphate, any phosphorylated ribose sugar."
GO:0009142,nucleoside triphosphate biosynthetic process,"The chemical reactions and pathways resulting in the formation of a nucleoside triphosphate, a compound consisting of a nucleobase linked to a deoxyribose or ribose sugar esterified with triphosphate on the sugar."
GO:0072521,purine-containing compound metabolic process,"The chemical reactions and pathways involving a purine-containing compound, i.e. any compound that contains purine or a formal derivative thereof."
GO:0009201,ribonucleoside triphosphate biosynthetic process,"The chemical reactions and pathways resulting in the formation of a ribonucleoside triphosphate, a compound consisting of a nucleobase linked to a ribose sugar esterified with triphosphate on the sugar."
GO:0006091,generation of precursor metabolites and energy,"The chemical reactions and pathways resulting in the formation of precursor metabolites, substances from which energy is derived, and any process involved in the liberation of energy from these substances."
GO:0009206,purine ribonucleoside triphosphate biosynthetic process,"The chemical reactions and pathways resulting in the formation of purine ribonucleoside triphosphate, a compound consisting of a purine base linked to a ribose sugar esterified with triphosphate on the sugar."
GO:0009145,purine nucleoside triphosphate biosynthetic process,"The chemical reactions and pathways resulting in the formation of purine nucleoside triphosphate, a compound consisting of a purine base linked to a ribose or deoxyribose sugar esterified with triphosphate on the sugar."
GO:0009199,ribonucleoside triphosphate metabolic process,"The chemical reactions and pathways involving a ribonucleoside triphosphate, a compound consisting of a nucleobase linked to a ribose sugar esterified with triphosphate on the sugar."
GO:0046034,ATP metabolic process,"The chemical reactions and pathways involving ATP, adenosine triphosphate, a universally important coenzyme and enzyme regulator."
GO:0009150,purine ribonucleotide metabolic process,"The chemical reactions and pathways involving a purine ribonucleotide, a compound consisting of ribonucleoside (a purine base linked to a ribose sugar) esterified with a phosphate group at either the 3' or 5'-hydroxyl group of the sugar."
GO:0009205,purine ribonucleoside triphosphate metabolic process,"The chemical reactions and pathways involving purine ribonucleoside triphosphate, a compound consisting of a purine base linked to a ribose sugar esterified with triphosphate on the sugar."
GO:0009141,nucleoside triphosphate metabolic process,"The chemical reactions and pathways involving a nucleoside triphosphate, a compound consisting of a nucleobase linked to a deoxyribose or ribose sugar esterified with triphosphate on the sugar."
GO:0009165,nucleotide biosynthetic process,"The chemical reactions and pathways resulting in the formation of nucleotides, any nucleoside that is esterified with (ortho)phosphate or an oligophosphate at any hydroxyl group on the glycose moiety; may be mono-, di- or triphosphate; this definition includes cyclic-nucleotides (nucleoside cyclic phosphates)."
GO:1901293,nucleoside phosphate biosynthetic process,The chemical reactions and pathways resulting in the formation of a nucleoside phosphate.
GO:0009144,purine nucleoside triphosphate metabolic process,"The chemical reactions and pathways involving purine nucleoside triphosphate, a compound consisting of a purine base linked to a ribose or deoxyribose sugar esterified with triphosphate on the sugar."
GO:0045259,proton-transporting ATP synthase complex,"A proton-transporting two-sector ATPase complex that catalyzes the phosphorylation of ADP to ATP during oxidative phosphorylation. The complex comprises a membrane sector (F0) that carries out proton transport and a cytoplasmic compartment sector (F1) that catalyzes ATP synthesis by a rotational mechanism; the extramembrane sector (containing 3 a and 3 b subunits) is connected via the d-subunit to the membrane sector by several smaller subunits. Within this complex, the g and e subunits and the 9-12 c subunits rotate by consecutive 120 degree angles and perform parts of ATP synthesis. This movement is driven by the hydrogen ion electrochemical potential gradient."
GO:0005753,mitochondrial proton-transporting ATP synthase complex,A proton-transporting ATP synthase complex found in the mitochondrial membrane.
GO:0016469,proton-transporting two-sector ATPase complex,"A large protein complex that catalyzes the synthesis or hydrolysis of ATP by a rotational mechanism, coupled to the transport of protons across a membrane. The complex comprises a membrane sector (F0, V0, or A0) that carries out proton transport and a cytoplasmic compartment sector (F1, V1, or A1) that catalyzes ATP synthesis or hydrolysis. Two major types have been characterized: V-type ATPases couple ATP hydrolysis to the transport of protons across a concentration gradient, whereas F-type ATPases, also known as ATP synthases, normally run in the reverse direction to utilize energy from a proton concentration or electrochemical gradient to synthesize ATP. A third type, A-type ATPases have been found in archaea, and are closely related to eukaryotic V-type ATPases but are reversible."
GO:0045263,"proton-transporting ATP synthase complex, coupling factor F(o)","All non-F1 subunits of a hydrogen-transporting ATP synthase, including integral and peripheral membrane proteins."
GO:0098800,inner mitochondrial membrane protein complex,Any protein complex that is part of the inner mitochondrial membrane.
GO:0000276,"mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)","All non-F1 subunits of the mitochondrial hydrogen-transporting ATP synthase, including integral and peripheral mitochondrial inner membrane proteins."
GO:0005743,mitochondrial inner membrane,"The inner, i.e. lumen-facing, lipid bilayer of the mitochondrial envelope. It is highly folded to form cristae."
GO:0033177,"proton-transporting two-sector ATPase complex, proton-transporting domain","A protein complex that forms part of a proton-transporting two-sector ATPase complex and carries out proton transport across a membrane. The proton-transporting domain (F0, V0, or A0) includes integral and peripheral membrane proteins."
GO:0019866,organelle inner membrane,"The inner, i.e. lumen-facing, lipid bilayer of an organelle envelope; usually highly selective to most ions and metabolites."
GO:0098798,mitochondrial protein-containing complex,A protein complex that is part of a mitochondrion.
GO:0033178,"proton-transporting two-sector ATPase complex, catalytic domain","A protein complex that forms part of a proton-transporting two-sector ATPase complex and catalyzes ATP hydrolysis or synthesis. The catalytic domain (F1, V1, or A1) comprises a hexameric catalytic core and a central stalk, and is peripherally associated with the membrane when the two-sector ATPase is assembled."
GO:0101002,ficolin-1-rich granule,"Highly exocytosable gelatinase-poor granules found in neutrophils and rich in ficolin-1.  Ficolin-1 is released from neutrophil granules by stimulation with fMLP or PMA, and the majority becomes associated with the surface membrane of the cells and can be detected by flow cytometry."
GO:1904813,ficolin-1-rich granule lumen,Any membrane-enclosed lumen that is part of a ficolin-1-rich granule.
GO:0005759,mitochondrial matrix,"The gel-like material, with considerable fine structure, that lies in the matrix space, or lumen, of a mitochondrion. It contains the enzymes of the tricarboxylic acid cycle and, in some organisms, the enzymes concerned with fatty acid oxidation."
GO:0005746,mitochondrial respirasome,"The protein complexes that form the mitochondrial electron transport system (the respiratory chain), associated with the inner mitochondrial membrane. The respiratory chain complexes transfer electrons from an electron donor to an electron acceptor and are associated with a proton pump to create a transmembrane electrochemical gradient."
GO:0070469,respirasome,"The protein complexes that form the electron transport system (the respiratory chain), associated with a cell membrane, usually the plasma membrane (in prokaryotes) or the inner mitochondrial membrane (on eukaryotes). The respiratory chain complexes transfer electrons from an electron donor to an electron acceptor and are associated with a proton pump to create a transmembrane electrochemical gradient."
GO:0034774,secretory granule lumen,The volume enclosed by the membrane of a secretory granule.
GO:0060205,cytoplasmic vesicle lumen,The volume enclosed by a cytoplasmic vesicle.
GO:0031983,vesicle lumen,The volume enclosed by the membrane or protein that forms a vesicle.
GO:0098803,respiratory chain complex,Any protein complex that is part of a respiratory chain.
GO:0046933,"proton-transporting ATP synthase activity, rotational mechanism",Enables the synthesis of ATP from ADP and phosphate by the transfer of protons from one side of a membrane to the other by a rotational mechanism driven by a gradient according to the reaction: ADP + H2O + phosphate + H+(in) -> ATP + H+(out).
GO:0015252,proton channel activity,Enables the facilitated diffusion of a hydrogen ion (by an energy-independent process) involving passage through a transmembrane aqueous pore or channel without evidence for a carrier-mediated mechanism.
GO:0015078,proton transmembrane transporter activity,Enables the transfer of a proton from one side of a membrane to the other.
GO:0016874,ligase activity,"Catalysis of the joining of two molecules, or two groups within a single molecule, using the energy from the hydrolysis of ATP, a similar triphosphate, or a pH gradient."
GO:0015077,inorganic cation transmembrane transporter activity,Enables the transfer of inorganic cations from one side of a membrane to the other. Inorganic cations are atoms or small molecules with a positive charge that do not contain carbon in covalent linkage.
