Term,Database,ID,Input number,Background number,P-Value,Corrected P-Value,Input,Hyperlink
Metabolic pathways,KEGG PATHWAY,hsa01100,74,1433,3.63E-87,3.19E-85,224|217|23530|6391|5224|669|56954|5313|219|10476|498|2597|5337|5211|6392|518|230|2821|79966|1544|10797|1635|790|5230|6389|5232|26330|2026|5315|521|522|509|506|4860|4524|501|5288|55276|2023|29922|151531|5287|5286|1491|4830|229|10201|226|539|223|441024|1543|51071|1557|5223|7372|6390|4832|29968|4522|10632|4831|9791|2027|517|51727|9551|139596|513|6319|515|514|26227|516,http://www.genome.jp/kegg-bin/show_pathway?hsa01100/hsa:230%09red/hsa:5288%09red/hsa:4860%09red/hsa:10797%09red/hsa:224%09red/hsa:5287%09red/hsa:5286%09red/hsa:56954%09red/hsa:5224%09red/hsa:517%09red/hsa:516%09red/hsa:515%09red/hsa:514%09red/hsa:513%09red/hsa:1544%09red/hsa:669%09red/hsa:10632%09red/hsa:26330%09red/hsa:217%09red/hsa:441024%09red/hsa:2821%09red/hsa:2026%09red/hsa:2027%09red/hsa:2597%09red/hsa:6389%09red/hsa:1635%09red/hsa:5211%09red/hsa:4522%09red/hsa:9791%09red/hsa:10201%09red/hsa:5230%09red/hsa:55276%09red/hsa:5232%09red/hsa:518%09red/hsa:5313%09red/hsa:4524%09red/hsa:5337%09red/hsa:6390%09red/hsa:4830%09red/hsa:226%09red/hsa:223%09red/hsa:6391%09red/hsa:4832%09red/hsa:4831%09red/hsa:139596%09red/hsa:229%09red/hsa:6392%09red/hsa:79966%09red/hsa:5315%09red/hsa:506%09red/hsa:26227%09red/hsa:501%09red/hsa:9551%09red/hsa:1557%09red/hsa:498%09red/hsa:51727%09red/hsa:522%09red/hsa:509%09red/hsa:521%09red/hsa:23530%09red/hsa:790%09red/hsa:539%09red/hsa:29922%09red/hsa:151531%09red/hsa:7372%09red/hsa:5223%09red/hsa:51071%09red/hsa:1543%09red/hsa:6319%09red/hsa:2023%09red/hsa:10476%09red/hsa:1491%09red/hsa:219%09red/hsa:29968%09red
Glycolysis / Gluconeogenesis,KEGG PATHWAY,hsa00010,23,68,3.81E-41,1.68E-39,217|2597|669|219|5211|230|2821|5313|5232|26330|5315|501|55276|229|226|224|223|5223|5224|5230|2026|2027|2023,http://www.genome.jp/kegg-bin/show_pathway?hsa00010/hsa:230%09red/hsa:669%09red/hsa:219%09red/hsa:2821%09red/hsa:26330%09red/hsa:217%09red/hsa:2023%09red/hsa:2026%09red/hsa:2027%09red/hsa:5211%09red/hsa:5232%09red/hsa:5230%09red/hsa:55276%09red/hsa:5313%09red/hsa:224%09red/hsa:226%09red/hsa:223%09red/hsa:229%09red/hsa:5315%09red/hsa:501%09red/hsa:5223%09red/hsa:5224%09red/hsa:2597%09red
Carbon metabolism,KEGG PATHWAY,hsa01200,22,117,1.98E-34,5.80E-33,29968|2597|5211|6389|2821|5313|230|5232|5315|5230|4524|229|226|5223|6390|6391|5224|6392|2026|2027|2023|26227,http://www.genome.jp/kegg-bin/show_pathway?hsa01200/hsa:230%09red/hsa:2821%09red/hsa:2023%09red/hsa:2026%09red/hsa:2027%09red/hsa:6389%09red/hsa:5211%09red/hsa:5232%09red/hsa:4524%09red/hsa:5230%09red/hsa:5315%09red/hsa:5313%09red/hsa:226%09red/hsa:229%09red/hsa:26227%09red/hsa:29968%09red/hsa:6390%09red/hsa:6391%09red/hsa:6392%09red/hsa:5223%09red/hsa:5224%09red/hsa:2597%09red
Thermogenesis,KEGG PATHWAY,hsa04714,22,231,1.93E-28,4.25E-27,10476|498|6389|1375|521|522|509|506|1374|6392|6390|6391|514|518|517|126129|9551|513|515|10632|539|516,http://www.genome.jp/kegg-bin/show_pathway?hsa04714/hsa:1375%09red/hsa:1374%09red/hsa:517%09red/hsa:516%09red/hsa:515%09red/hsa:514%09red/hsa:513%09red/hsa:539%09red/hsa:10632%09red/hsa:518%09red/hsa:6389%09red/hsa:506%09red/hsa:9551%09red/hsa:498%09red/hsa:522%09red/hsa:509%09red/hsa:521%09red/hsa:6390%09red/hsa:6391%09red/hsa:6392%09red/hsa:126129%09red/hsa:10476%09red
Biosynthesis of amino acids,KEGG PATHWAY,hsa01230,17,75,5.85E-28,1.03E-26,29968|1491|5223|5232|5313|5315|5224|5230|2026|2027|2023|229|5211|2597|226|230|26227,http://www.genome.jp/kegg-bin/show_pathway?hsa01230/hsa:2023%09red/hsa:230%09red/hsa:226%09red/hsa:2026%09red/hsa:2027%09red/hsa:2597%09red/hsa:5223%09red/hsa:229%09red/hsa:5224%09red/hsa:5211%09red/hsa:26227%09red/hsa:29968%09red/hsa:5230%09red/hsa:5315%09red/hsa:5232%09red/hsa:5313%09red/hsa:1491%09red
Oxidative phosphorylation,KEGG PATHWAY,hsa00190,19,133,1.00E-27,1.47E-26,539|6389|6390|6391|10632|518|10476|498|521|522|509|9551|6392|513|516|515|514|517|506,http://www.genome.jp/kegg-bin/show_pathway?hsa00190/hsa:6390%09red/hsa:6391%09red/hsa:6392%09red/hsa:10632%09red/hsa:6389%09red/hsa:506%09red/hsa:517%09red/hsa:516%09red/hsa:515%09red/hsa:514%09red/hsa:513%09red/hsa:10476%09red/hsa:9551%09red/hsa:539%09red/hsa:498%09red/hsa:521%09red/hsa:522%09red/hsa:509%09red/hsa:518%09red
Parkinson disease,KEGG PATHWAY,hsa05012,19,142,3.15E-27,3.96E-26,6392|515|6390|6391|514|518|6389|10476|498|539|522|509|506|513|291|292|293|517|516,http://www.genome.jp/kegg-bin/show_pathway?hsa05012/hsa:6390%09red/hsa:6391%09red/hsa:6392%09red/hsa:516%09red/hsa:514%09red/hsa:522%09red/hsa:6389%09red/hsa:515%09red/hsa:517%09red/hsa:291%09red/hsa:292%09red/hsa:293%09red/hsa:513%09red/hsa:10476%09red/hsa:539%09red/hsa:498%09red/hsa:506%09red/hsa:509%09red/hsa:518%09red
Huntington disease,KEGG PATHWAY,hsa05016,19,193,7.05E-25,7.76E-24,6392|515|6390|6391|514|518|6389|10476|498|539|522|509|506|513|291|292|293|517|516,http://www.genome.jp/kegg-bin/show_pathway?hsa05016/hsa:6390%09red/hsa:6391%09red/hsa:6392%09red/hsa:516%09red/hsa:514%09red/hsa:522%09red/hsa:6389%09red/hsa:515%09red/hsa:517%09red/hsa:291%09red/hsa:292%09red/hsa:293%09red/hsa:513%09red/hsa:10476%09red/hsa:539%09red/hsa:498%09red/hsa:506%09red/hsa:509%09red/hsa:518%09red
Alzheimer disease,KEGG PATHWAY,hsa05010,17,171,2.13E-22,2.08E-21,2597|6392|515|6390|6391|518|10476|498|539|522|509|506|513|6389|514|517|516,http://www.genome.jp/kegg-bin/show_pathway?hsa05010/hsa:6390%09red/hsa:6391%09red/hsa:6392%09red/hsa:2597%09red/hsa:6389%09red/hsa:506%09red/hsa:517%09red/hsa:516%09red/hsa:515%09red/hsa:514%09red/hsa:513%09red/hsa:10476%09red/hsa:539%09red/hsa:498%09red/hsa:522%09red/hsa:509%09red/hsa:518%09red
Pyrimidine metabolism,KEGG PATHWAY,hsa00240,12,57,1.15E-19,1.01E-18,151531|1635|790|4831|7372|4832|51727|10201|139596|4860|29922|4830,http://www.genome.jp/kegg-bin/show_pathway?hsa00240/hsa:790%09red/hsa:4830%09red/hsa:29922%09red/hsa:4860%09red/hsa:139596%09red/hsa:7372%09red/hsa:4832%09red/hsa:4831%09red/hsa:1635%09red/hsa:151531%09red/hsa:10201%09red/hsa:51727%09red
