GO,name,definition
GO:0009165,nucleotide biosynthetic process,"The chemical reactions and pathways resulting in the formation of nucleotides, any nucleoside that is esterified with (ortho)phosphate or an oligophosphate at any hydroxyl group on the glycose moiety; may be mono-, di- or triphosphate; this definition includes cyclic-nucleotides (nucleoside cyclic phosphates)."
GO:1901293,nucleoside phosphate biosynthetic process,The chemical reactions and pathways resulting in the formation of a nucleoside phosphate.
GO:0055086,nucleobase-containing small molecule metabolic process,"The cellular chemical reactions and pathways involving a nucleobase-containing small molecule: a nucleobase, a nucleoside, or a nucleotide."
GO:0009142,nucleoside triphosphate biosynthetic process,"The chemical reactions and pathways resulting in the formation of a nucleoside triphosphate, a compound consisting of a nucleobase linked to a deoxyribose or ribose sugar esterified with triphosphate on the sugar."
GO:0009117,nucleotide metabolic process,"The chemical reactions and pathways involving a nucleotide, a nucleoside that is esterified with (ortho)phosphate or an oligophosphate at any hydroxyl group on the glycose moiety; may be mono-, di- or triphosphate; this definition includes cyclic nucleotides (nucleoside cyclic phosphates)."
GO:0009201,ribonucleoside triphosphate biosynthetic process,"The chemical reactions and pathways resulting in the formation of a ribonucleoside triphosphate, a compound consisting of a nucleobase linked to a ribose sugar esterified with triphosphate on the sugar."
GO:0006753,nucleoside phosphate metabolic process,The chemical reactions and pathways involving any phosphorylated nucleoside.
GO:0009206,purine ribonucleoside triphosphate biosynthetic process,"The chemical reactions and pathways resulting in the formation of purine ribonucleoside triphosphate, a compound consisting of a purine base linked to a ribose sugar esterified with triphosphate on the sugar."
GO:0046390,ribose phosphate biosynthetic process,"The chemical reactions and pathways resulting in the formation of ribose phosphate, any phosphorylated ribose sugar."
GO:0009145,purine nucleoside triphosphate biosynthetic process,"The chemical reactions and pathways resulting in the formation of purine nucleoside triphosphate, a compound consisting of a purine base linked to a ribose or deoxyribose sugar esterified with triphosphate on the sugar."
GO:0009199,ribonucleoside triphosphate metabolic process,"The chemical reactions and pathways involving a ribonucleoside triphosphate, a compound consisting of a nucleobase linked to a ribose sugar esterified with triphosphate on the sugar."
GO:0009260,ribonucleotide biosynthetic process,"The chemical reactions and pathways resulting in the formation of a ribonucleotide, a compound consisting of ribonucleoside (a base linked to a ribose sugar) esterified with a phosphate group at either the 3' or 5'-hydroxyl group of the sugar."
GO:0009141,nucleoside triphosphate metabolic process,"The chemical reactions and pathways involving a nucleoside triphosphate, a compound consisting of a nucleobase linked to a deoxyribose or ribose sugar esterified with triphosphate on the sugar."
GO:0009205,purine ribonucleoside triphosphate metabolic process,"The chemical reactions and pathways involving purine ribonucleoside triphosphate, a compound consisting of a purine base linked to a ribose sugar esterified with triphosphate on the sugar."
GO:0019693,ribose phosphate metabolic process,"The chemical reactions and pathways involving ribose phosphate, any phosphorylated ribose sugar."
GO:0090407,organophosphate biosynthetic process,"The chemical reactions and pathways resulting in the biosynthesis of deoxyribose phosphate, the phosphorylated sugar 2-deoxy-erythro-pentose."
GO:0009144,purine nucleoside triphosphate metabolic process,"The chemical reactions and pathways involving purine nucleoside triphosphate, a compound consisting of a purine base linked to a ribose or deoxyribose sugar esterified with triphosphate on the sugar."
GO:0072522,purine-containing compound biosynthetic process,"The chemical reactions and pathways resulting in the formation of a purine-containing compound, i.e. any compound that contains purine or a formal derivative thereof."
GO:0042776,mitochondrial ATP synthesis coupled proton transport,The transport of protons across a mitochondrial membrane to generate an electrochemical gradient (proton-motive force) that powers ATP synthesis.
GO:0009259,ribonucleotide metabolic process,"The chemical reactions and pathways involving a ribonucleotide, a compound consisting of ribonucleoside (a base linked to a ribose sugar) esterified with a phosphate group at either the 3' or 5'-hydroxyl group of the sugar."
GO:0045259,proton-transporting ATP synthase complex,"A proton-transporting two-sector ATPase complex that catalyzes the phosphorylation of ADP to ATP during oxidative phosphorylation. The complex comprises a membrane sector (F0) that carries out proton transport and a cytoplasmic compartment sector (F1) that catalyzes ATP synthesis by a rotational mechanism; the extramembrane sector (containing 3 a and 3 b subunits) is connected via the d-subunit to the membrane sector by several smaller subunits. Within this complex, the g and e subunits and the 9-12 c subunits rotate by consecutive 120 degree angles and perform parts of ATP synthesis. This movement is driven by the hydrogen ion electrochemical potential gradient."
GO:0005753,mitochondrial proton-transporting ATP synthase complex,A proton-transporting ATP synthase complex found in the mitochondrial membrane.
GO:0016469,proton-transporting two-sector ATPase complex,"A large protein complex that catalyzes the synthesis or hydrolysis of ATP by a rotational mechanism, coupled to the transport of protons across a membrane. The complex comprises a membrane sector (F0, V0, or A0) that carries out proton transport and a cytoplasmic compartment sector (F1, V1, or A1) that catalyzes ATP synthesis or hydrolysis. Two major types have been characterized: V-type ATPases couple ATP hydrolysis to the transport of protons across a concentration gradient, whereas F-type ATPases, also known as ATP synthases, normally run in the reverse direction to utilize energy from a proton concentration or electrochemical gradient to synthesize ATP. A third type, A-type ATPases have been found in archaea, and are closely related to eukaryotic V-type ATPases but are reversible."
GO:0045263,"proton-transporting ATP synthase complex, coupling factor F(o)","All non-F1 subunits of a hydrogen-transporting ATP synthase, including integral and peripheral membrane proteins."
GO:0000276,"mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)","All non-F1 subunits of the mitochondrial hydrogen-transporting ATP synthase, including integral and peripheral mitochondrial inner membrane proteins."
GO:0033177,"proton-transporting two-sector ATPase complex, proton-transporting domain","A protein complex that forms part of a proton-transporting two-sector ATPase complex and carries out proton transport across a membrane. The proton-transporting domain (F0, V0, or A0) includes integral and peripheral membrane proteins."
GO:0098800,inner mitochondrial membrane protein complex,Any protein complex that is part of the inner mitochondrial membrane.
GO:0005743,mitochondrial inner membrane,"The inner, i.e. lumen-facing, lipid bilayer of the mitochondrial envelope. It is highly folded to form cristae."
GO:0019866,organelle inner membrane,"The inner, i.e. lumen-facing, lipid bilayer of an organelle envelope; usually highly selective to most ions and metabolites."
GO:0098798,mitochondrial protein-containing complex,A protein complex that is part of a mitochondrion.
GO:0033178,"proton-transporting two-sector ATPase complex, catalytic domain","A protein complex that forms part of a proton-transporting two-sector ATPase complex and catalyzes ATP hydrolysis or synthesis. The catalytic domain (F1, V1, or A1) comprises a hexameric catalytic core and a central stalk, and is peripherally associated with the membrane when the two-sector ATPase is assembled."
GO:0101002,ficolin-1-rich granule,"Highly exocytosable gelatinase-poor granules found in neutrophils and rich in ficolin-1.  Ficolin-1 is released from neutrophil granules by stimulation with fMLP or PMA, and the majority becomes associated with the surface membrane of the cells and can be detected by flow cytometry."
GO:1904813,ficolin-1-rich granule lumen,Any membrane-enclosed lumen that is part of a ficolin-1-rich granule.
GO:1904724,tertiary granule lumen,Any membrane-enclosed lumen that is part of a tertiary granule.
GO:0005942,phosphatidylinositol 3-kinase complex,"A protein complex capable of phosphatidylinositol 3-kinase activity and containing subunits of any phosphatidylinositol 3-kinase (PI3K) enzyme. These complexes are divided in three classes (called I, II and III) that differ for their presence across taxonomic groups and for the type of their constituents. Catalytic subunits of phosphatidylinositol 3-kinase enzymes are present in all 3 classes; regulatory subunits of phosphatidylinositol 3-kinase enzymes are present in classes I and III; adaptor proteins have been observed in class II complexes and may be present in other classes too."
GO:0034774,secretory granule lumen,The volume enclosed by the membrane of a secretory granule.
GO:0060205,cytoplasmic vesicle lumen,The volume enclosed by a cytoplasmic vesicle.
GO:0031983,vesicle lumen,The volume enclosed by the membrane or protein that forms a vesicle.
GO:0005759,mitochondrial matrix,"The gel-like material, with considerable fine structure, that lies in the matrix space, or lumen, of a mitochondrion. It contains the enzymes of the tricarboxylic acid cycle and, in some organisms, the enzymes concerned with fatty acid oxidation."
GO:0016323,basolateral plasma membrane,"The region of the plasma membrane that includes the basal end and sides of the cell. Often used in reference to animal polarized epithelial membranes, where the basal membrane is the part attached to the extracellular matrix, or in plant cells, where the basal membrane is defined with respect to the zygotic axis."
